,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2013-12-02,3019.851,0.3938,3.66,24.3875,,,,1.79,19.6868,50.24,94.28,30.1732,,,47.06,26.388,53.1,134.16,416.606,424.0,57.53,107.26,124.95,83.34,19.615,,40.74,516.0,5.133,40.08,103.929,51.989,40.535,,6.0928,102.94,7.752,1.6356,1.3542
2013-12-03,2969.036,0.3935,3.62,24.3125,,,,1.76,20.2258,49.78,93.97,29.595,,,46.73,26.357,51.13,132.0,411.802,416.3,57.64,107.61,125.31,83.83,19.233,,40.88,515.0,5.047,40.35,100.554,51.849,40.275,,6.0924,102.51,7.7523,1.6391,1.3588
2013-12-04,2933.777,0.399,3.57,24.3638,,,,1.76,20.1786,49.87,93.63,29.6424,,,48.62,26.48,50.64,131.5,411.115,420.7,56.93,106.93,124.58,83.35,19.298,,41.09,506.0,5.143,40.37,101.048,50.896,39.75,,6.0915,102.36,7.7529,1.6384,1.3593
2013-12-05,2933.777,0.3925,3.64,24.3875,,,,1.77,20.2822,49.96,92.97,29.6234,,,48.34,26.459,49.895,132.73,408.713,417.7,56.91,107.4,124.44,82.69,19.225,,40.94,507.0,5.306,39.83,101.189,51.151,39.86,,6.0914,101.79,7.7539,1.6333,1.3667
2013-12-06,2978.369,0.3868,3.66,24.4888,,,,1.76,20.0007,50.63,94.44,29.8983,,,47.94,26.773,50.08,135.18,410.086,415.8,58.14,107.86,124.595,84.52,19.348,,41.43,516.0,,40.46,102.733,50.634,39.97,,6.0816,102.91,7.7545,1.6349,1.3706
2013-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.268,,,,,,,,,,
2013-12-09,2988.74,0.3801,3.63,24.5375,,,,1.74,20.2296,50.79,94.44,29.9362,,,48.84,26.98,50.49,134.68,413.861,416.3,57.87,108.16,124.53,84.78,19.245,,41.04,523.0,5.316,40.4,103.722,50.81,39.865,,6.0717,103.27,7.7532,1.643,1.3739
2013-12-10,2956.592,0.389,3.72,25.0713,,,,1.78,20.1982,50.49,94.14,29.7087,,,50.245,27.143,49.18,133.7,409.056,415.4,57.38,108.6,124.83,83.65,19.389,,40.46,519.0,5.335,39.85,102.258,51.871,38.69,,6.0712,102.85,7.7536,1.6445,1.3761
2013-12-11,2987.703,0.3853,3.68,24.9763,,,,1.76,20.0486,49.98,93.11,29.0546,,,49.38,26.958,52.86,132.56,413.174,426.0,56.26,108.08,124.86,84.02,19.11,,40.28,522.0,5.335,40.13,101.824,51.997,38.2,,6.0719,102.42,7.7543,1.6374,1.3786
2013-12-12,2929.629,0.3777,3.69,24.4425,,,,1.73,20.0193,49.23,91.16,28.6755,,,51.83,26.775,53.52,132.96,408.37,420.9,55.65,108.25,124.26,82.3,19.063,,40.2,518.0,5.393,39.21,101.449,53.333,38.24,,6.0713,103.38,7.7537,1.635,1.3753
2013-12-13,2933.777,0.3755,3.69,24.5638,,,,1.72,19.8011,49.39,91.35,28.6755,,,53.32,26.545,53.93,133.83,412.831,434.0,55.89,108.35,124.32,82.37,19.212,,40.12,520.5,,39.23,101.302,52.71,38.175,,6.0717,103.21,7.7538,1.63,1.3742
2013-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.383,,,,,,,,,,
2013-12-16,2945.184,0.376,3.59,24.81,,,,1.76,19.9107,49.19,91.37,28.6755,,,53.81,26.851,55.42,134.72,424.156,436.9,56.34,108.51,124.58,81.69,19.449,,40.38,525.0,5.335,39.27,102.592,52.33,38.23,,6.0714,103.02,7.7535,1.6297,1.3761
2013-12-17,2939.999,0.3777,3.65,24.495,,,,1.72,19.8211,49.22,90.66,28.5712,,,54.86,26.772,54.44,135.88,419.351,432.8,56.59,108.8,124.6,80.91,19.383,,40.31,528.0,5.527,39.1,102.325,53.553,38.045,,6.071,102.67,7.7526,1.6264,1.3768
